id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,operationStatus
#id+code,#operation+name,#country+name,#country+code,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm+level,#affected+idps,#date+reported,#date+year+reported,#date+month+reported,#round+code,#assessment+type,#operation+status
296873,Displacement due to conflict,Lebanon,LBN,,,,,0,875180,2024-11-06T00:00:00,2024,11,60,BA,Active
296874,Displacement due to conflict,Lebanon,LBN,,,,,0,878497,2024-11-10T00:00:00,2024,11,61,BA,Active
296875,Displacement due to conflict,Lebanon,LBN,,,,,0,881326,2024-11-13T00:00:00,2024,11,62,BA,Active
296876,Displacement due to conflict,Lebanon,LBN,,,,,0,886028,2024-11-17T00:00:00,2024,11,63,BA,Active
296877,Displacement due to conflict,Lebanon,LBN,,,,,0,896315,2024-11-20T00:00:00,2024,11,64,BA,Active
296878,Displacement due to conflict,Lebanon,LBN,,,,,0,899725,2024-11-24T00:00:00,2024,11,65,BA,Active
296879,Displacement due to conflict,Lebanon,LBN,,,,,0,201820,2024-12-04T00:00:00,2024,12,66,BA,Active
296880,Displacement due to conflict,Lebanon,LBN,,,,,0,178817,2024-12-11T00:00:00,2024,12,67,BA,Active
296881,Displacement due to conflict,Lebanon,LBN,,,,,0,165428,2024-12-18T00:00:00,2024,12,68,BA,Active
296882,Displacement due to conflict,Lebanon,LBN,,,,,0,160900,2024-12-25T00:00:00,2024,12,69,BA,Active
296883,Displacement due to conflict,Lebanon,LBN,,,,,0,123774,2024-12-31T00:00:00,2024,12,70,BA,Active
296884,Displacement due to conflict,Lebanon,LBN,,,,,0,115439,2025-01-08T00:00:00,2025,1,71,BA,Active
296885,Displacement due to conflict,Lebanon,LBN,,,,,0,113578,2025-01-15T00:00:00,2025,1,72,BA,Active
296886,Displacement due to conflict,Lebanon,LBN,,,,,0,112076,2025-01-22T00:00:00,2025,1,73,BA,Active
296887,Displacement due to conflict,Lebanon,LBN,,,,,0,103346,2025-01-29T00:00:00,2025,1,74,BA,Active
296888,Displacement due to conflict,Lebanon,LBN,,,,,0,98986,2025-02-05T00:00:00,2025,2,75,BA,Active
296889,Displacement due to conflict,Lebanon,LBN,,,,,0,115234,2025-02-14T00:00:00,2025,2,76,BA,Active
296890,Displacement due to conflict,Lebanon,LBN,,,,,0,98994,2025-02-19T00:00:00,2025,2,77,BA,Active
296891,Displacement due to conflict,Lebanon,LBN,,,,,0,98875,2025-02-28T00:00:00,2025,2,78,BA,Active
296892,Displacement due to conflict,Lebanon,LBN,,,,,0,95834,2025-03-06T00:00:00,2025,3,79,BA,Active
296893,Displacement due to conflict,Lebanon,LBN,,,,,0,92825,2025-03-13T00:00:00,2025,3,80,BA,Active
296894,Displacement due to conflict,Lebanon,LBN,,,,,0,96037,2025-03-21T00:00:00,2025,3,81,BA,Active
2437651,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,355,2023-10-15T00:00:00,2023,10,1,BA,Active
2437652,Displacement due to conflict,Lebanon,LBN,El Nabatieh,LB4,,,1,797,2023-10-15T00:00:00,2023,10,2,BA,Active
2438768,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,13,2023-10-15T00:00:00,2023,10,1,BA,Active
2438769,Displacement due to conflict,Lebanon,LBN,North,LB5,,,1,13,2023-10-15T00:00:00,2023,10,2,BA,Active
2438849,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,1065,2023-10-15T00:00:00,2023,10,1,BA,Active
2438850,Displacement due to conflict,Lebanon,LBN,South,LB6,,,1,1081,2023-10-15T00:00:00,2023,10,2,BA,Active
2437489,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,1904,2023-10-15T00:00:00,2023,10,1,BA,Active
2437490,Displacement due to conflict,Lebanon,LBN,Beirut,LB1,,,1,1758,2023-10-15T00:00:00,2023,10,2,BA,Active
2438687,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,1388,2023-10-15T00:00:00,2023,10,1,BA,Active
2438688,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,2998,2023-10-15T00:00:00,2023,10,2,BA,Active
2436483,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,63,2023-10-15T00:00:00,2023,10,1,BA,Active
2436484,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1003,2023-10-15T00:00:00,2023,10,2,BA,Active
2437570,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,405,2023-10-15T00:00:00,2023,10,1,BA,Active
2437571,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,430,2023-10-15T00:00:00,2023,10,2,BA,Active
2437572,Displacement due to conflict,Lebanon,LBN,Bekaa,LB2,,,1,460,2023-10-16T00:00:00,2023,10,3,BA,Active
2436485,Displacement due to conflict,Lebanon,LBN,Baalbek-El Hermel,LB8,,,1,1003,2023-10-16T00:00:00,2023,10,3,BA,Active
2438689,Displacement due to conflict,Lebanon,LBN,Mount Lebanon,LB3,,,1,3791,2023-10-16T00:00:00,2023,10,3,BA,Active
